category	experiment	path	status	raw_files	plot_files	log_files	has_manifest	has_notes	note
critical_relaxation	2026-05-07_relaxation_critical_p_narrow_TMAX400k	03_critical_transition/relaxation_time/p_fine/2026-05-07_relaxation_critical_p_narrow_TMAX400k	archived_or_completed	5	5	2	yes	yes	critical relaxation-time and T_MAX sensitivity maps
critical_relaxation	statistics	03_critical_transition/relaxation_time/statistics	archived_or_completed	2	2	2	yes	yes	relaxation-time statistics near the critical region
critical_relaxation	tmax_ladder	03_critical_transition/relaxation_time/tmax_ladder	archived_or_completed	9	9	2	yes	yes	T_MAX ladder for critical slowing-down diagnostics
degree_linear_sweep_b	degree_linear	04_copy_probability/degree_linear	archived_or_completed	12	9	24	yes	yes	degree-weighted linear probability sweep_b
fermi_sweep_b	derived_comparisons	04_copy_probability/fermi/derived_comparisons	archived_or_completed	0	7	0	no	no	derived Fermi comparison plots
fermi_sweep_b	sweep_b_fig3	04_copy_probability/fermi/sweep_b_fig3	archived_or_completed	5	0	10	yes	no	Fermi copy probability Fig. 3 sweep_b
fermi_sweep_b	sweep_b_fig3_tower_2026-05-10	04_copy_probability/fermi/sweep_b_fig3/tower_2026-05-10	archived_or_completed	4	4	13	yes	no	Tower run for Fermi beta=5 Fig. 3 sweep_b
fermi_sweep_b	sweep_b_fig4_fermi_beta_10_full_2026-05-07	04_copy_probability/fermi/sweep_b_fig4/sweep_b_fig4_fermi_beta_10_full_2026-05-07	archived_or_completed	8	3	16	yes	no	Fermi copy probability sweep_b comparison
fermi_sweep_b	sweep_b_fig4_fermi_beta_1_full_2026-05-07	04_copy_probability/fermi/sweep_b_fig4/sweep_b_fig4_fermi_beta_1_full_2026-05-07	archived_or_completed	8	3	16	yes	no	Fermi copy probability sweep_b comparison
fermi_sweep_b	sweep_b_fig4_fermi_beta_5_full_2026-05-07_run2	04_copy_probability/fermi/sweep_b_fig4/sweep_b_fig4_fermi_beta_5_full_2026-05-07_run2	archived_or_completed	8	3	16	yes	no	Fermi copy probability sweep_b comparison
active_or_incomplete	degree_linear_overnight_fig3_thermo_2026-05-11_real	degree_linear_overnight_fig3_thermo_2026-05-11_real	active_do_not_move	0	2	2	no	no	current degree-linear thermodynamic-limit work; keep in place
degree_linear_sweep_b	fig3_degree_alpha1	degree_linear_overnight_fig3_thermo_2026-05-11_real/fig3_degree_alpha1	active_do_not_move	7	0	13	yes	no	interrupted degree-linear Fig. 3 sweep attempt
